Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Sort Order
gtm-himalayan-rock-salt-1kg,GTM Rock Salt 1kg,<p>GTM Rock Salt 1kg from GTM.</p>,GTM,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,99.00,,true,true,,,,,,/products/GTM Himalayan Rock Salt 1Kg.png,1,,,,,,kg,,99.00,active,1
gtm-himalayan-rock-salt-200g,GTM Rock Salt 200gm,<p>GTM Rock Salt 200gm from GTM.</p>,GTM,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,21.00,,true,true,,,,,,/products/GTM Himalayan Rock Salt 200g.png,1,,,,,,kg,,21.00,active,2
gtm-himalayan-pink-salt-1kg,GTM Rock Salt Powder 1kg,<p>GTM Rock Salt Powder 1kg from GTM.</p>,GTM,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,99.00,,true,true,,,,,,/products/GTM Himalayan Pink Salt 1Kg.png,1,,,,,,kg,,99.00,active,3
gtm-himalayan-pink-salt-200g,GTM Rock Salt Powder 200gm,<p>GTM Rock Salt Powder 200gm from GTM.</p>,GTM,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,21.00,,true,true,,,,,,/products/GTM Himalayan Pink Salt 200g.png,1,,,,,,kg,,21.00,active,4
gtm-black-salt-200g,GTM Black Salt 200gm,<p>GTM Black Salt 200gm from GTM.</p>,GTM,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,24.00,,true,true,,,,,,/products/GTM Black Salt 200g.png,1,,,,,,kg,,24.00,active,5
gpi-himalayan-pink-salt-1kg,GPI PINK Salt 1kg,<p>GPI PINK Salt 1kg from GPI.</p>,GPI,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,112.00,,true,true,,,,,,/products/GPI Himalayan Pink Salt 1Kg.png,1,,,,,,kg,,112.00,active,6
gpi-himalayan-pink-salt,GPI PINK Salt Lumps 1kg,<p>GPI PINK Salt Lumps 1kg from GPI.</p>,GPI,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,99.00,,true,true,,,,,,/products/GPI Himalayan Pink Salt.png,1,,,,,,kg,,99.00,active,7
gpi-black-salt-500g,GPI Black Salt 500gm,<p>GPI Black Salt 500gm from GPI.</p>,GPI,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,54.00,,true,true,,,,,,/products/GTM Black Salt 500g.png,1,,,,,,kg,,54.00,active,8
gpi-pink-crushed-salt-1kg,GPI Pink Crushed 1kg,<p>GPI Pink Crushed 1kg from GPI.</p>,GPI,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,120.00,,true,true,,,,,,/products/GPI Pink Crushed Salt 1Kg.png,1,,,,,,kg,,120.00,active,9
gpi-puiro-1kg,GPI Puiro 1kg,<p>GPI Puiro 1kg from GPI.</p>,GPI,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,120.00,,true,true,,,,,,/products/GPI Puiro 1Kg.png,1,,,,,,kg,,120.00,active,10
